#,שאלה,תשובה,מקור
555,"מהו דין ""טבילת עזרא"" בערב יום כיפור?",טבילה לטהרה (מנהג חסידות),"סימן 606, סעיף 3"
556,"מתי זמן ""וידוי"" בערב יום כיפור?",במנחה קודם הסעודה המפסקת,"סימן 607, סעיף 1"
557,מהם חמשת העינויים ביום כיפור?,"אכילה, רחיצה, סיכה, נעילה ותשמיש","סימן 611, סעיף 1"
558,מהו דין חולה ביום כיפור?,אם יש סכנה - מאכילים אותו,"סימן 618, סעיף 1"
559,"מתי זמן תפילת ""כל נדרי""?",לפני שקיעת החמה,"סימן 619, סעיף 1"
560,"ממה צריך להיות עשוי ה""סכך"" של הסוכה?","צומח מהקרקע, תלוש ואינו מקבל טומאה","סימן 629, סעיף 1"
561,מהו הגובה המינימלי של דפנות הסוכה?,10 טפחים,"סימן 633, סעיף 1"
562,מהו השטח המינימלי הנדרש לסוכה?,7 על 7 טפחים,"סימן 634, סעיף 1"
563,האם מותר לישון מחוץ לסוכה?,"לא, אפילו שינת עראי","סימן 639, סעיף 2"
564,האם מותר לאכול אכילת עראי מחוץ לסוכה?,מותר,"סימן 639, סעיף 2"
565,מה הדין אם ירדו גשמים בסוכה?,פטור מן הסוכה,"סימן 639, סעיף 5"
566,מה מברכים על הישיבה בסוכה?,"""לישב בסוכה""","סימן 639, סעיף 8"
567,מי פטור מן הסוכה?,"נשים, קטנים וחולים","סימן 640, סעיף 1"
568,מהם ארבעת המינים?,"לולב, אתרוג, הדס וערבה","סימן 645, סעיף 1"
569,כמה הדסים צריכים לאגוד בלולב?,שלושה,"סימן 651, סעיף 1"
570,כמה ערבות צריכים לאגוד בלולב?,שתיים,"סימן 651, סעיף 1"
571,מהו זמן נטילת לולב לכתחילה?,"בבוקר, לפני ההלל","סימן 652, סעיף 1"
572,האם מותר ליטול לולב בשבת?,לא,"סימן 658, סעיף 2"
573,"מהו ""הושענא רבה""?",היום השביעי של סוכות,"סימן 664, סעיף 1"
574,"מהו המנהג של ""חביטת ערבה""?",חובטים חמש ערבות בקרקע,"סימן 664, סעיף 4"
575,"מה חוגגים ב""שמיני עצרת""?",חג בפני עצמו,"סימן 668, סעיף 1"
576,מתי המועד להדלקת נרות חנוכה?,בצאת הכוכבים,"סימן 672, סעיף 1"
577,כמה זמן צריכים נרות חנוכה לדלוק?,חצי שעה לאחר צאת הכוכבים,"סימן 672, סעיף 2"
578,האם מותר להשתמש באור נרות חנוכה?,לא,"סימן 673, סעיף 1"
579,"מהו תפקידו של ה""שמש"" בחנוכה?",נר שממנו מדליקים,"סימן 673, סעיף 1"
580,האם נשים חייבות בהדלקת נרות חנוכה?,כן,"סימן 675, סעיף 3"
581,מה מברכים בלילה הראשון של חנוכה?,"""להדליק"", ""שעשה נסים"" ו""שהחיינו""","סימן 676, סעיף 1"
582,מה קוראים בתורה בימי החנוכה?,פרשת הנשיאים,"סימן 684, סעיף 1"
583,"מהו ""שבת שקלים""?",השבת שבה קוראים פרשת שקלים,"סימן 685, סעיף 1"
584,"מהו ""שבת זכור""?",השבת שלפני פורים,"סימן 685, סעיף 2"
585,"מהו ""שבת פרה""?",השבת שבה קוראים פרשת פרה,"סימן 685, סעיף 3"
586,"מהו ""שבת החודש""?",השבת שלפני ראש חודש ניסן,"סימן 685, סעיף 4"
587,"מהו מועד ""תענית אסתר""?","י""ג באדר","סימן 686, סעיף 1"
588,מתי זמן קריאת המגילה בפורים?,"בליל י""ד וביום י""ד","סימן 687, סעיף 1"
589,מתי חוגגים פורים בערים מוקפות חומה?,"בט""ו באדר","סימן 688, סעיף 1"
590,האם נשים חייבות במקרא מגילה?,כן,"סימן 689, סעיף 1"
591,מה מברכים לפני קריאת המגילה?,"""על מקרא מגילה"", ""שעשה נסים"" ו""שהחיינו""","סימן 692, סעיף 1"
592,האם מותר להפסיק בדיבור במהלך קריאת המגילה?,לא,"סימן 692, סעיף 2"
593,"האם אומרים ""על הנסים"" בתפילה ובברכת המזון?",כן,"סימן 693, סעיף 2"
594,"מהו הדין של מי ששכח ""על הנסים""?",אינו חוזר,"סימן 693, סעיף 2"
595,"למי יש לתת ""מתנות לאביונים"" בפורים?",לשני עניים לפחות,"סימן 694, סעיף 1"
596,מתי יש לתת את המתנות לאביונים?,ביום הפורים עצמו,"סימן 694, סעיף 1"
597,"מהו השיעור של מצוות ""משלוח מנות""?",שתי מנות לאיש אחד,"סימן 695, סעיף 4"
598,"מתי מקיימים את ""סעודת פורים""?",ביום הפורים,"סימן 695, סעיף 1"
599,האם מותר לעשות מלאכה בפורים?,נהגו שלא לעשות,"סימן 696, סעיף 1"
600,"מהו ""שושן פורים""?","ט""ו באדר","סימן 696, סעיף 3"
